timestamp,executable,image,repetition,fast_ms,sort_ms,slow_ms,total_ms,status
2026-05-11T15:34:41+00:00,denoise_2_gpu,noise_5k.ppm,1,,,,,ok
2026-05-11T15:34:42+00:00,denoise_2_gpu,noise_5k.ppm,2,,,,,ok
2026-05-11T15:34:44+00:00,denoise_2_gpu,noise_5k.ppm,3,,,,,ok
2026-05-15T13:26:44+00:00,denoise_2_gpu,noise_1280.ppm,1,,,,26.105,ok
2026-05-15T13:26:45+00:00,denoise_2_gpu,noise_1280.ppm,2,,,,26.026,ok
2026-05-15T13:26:45+00:00,denoise_2_gpu,noise_1280.ppm,3,,,,26.119,ok
2026-05-15T13:26:46+00:00,denoise_2_gpu,noise_1280.ppm,4,,,,26.083,ok
2026-05-15T13:26:46+00:00,denoise_2_gpu,noise_1280.ppm,5,,,,26.097,ok
2026-05-15T13:26:47+00:00,denoise_2_gpu,noise_1280.ppm,6,,,,26.022,ok
2026-05-15T13:26:47+00:00,denoise_2_gpu,noise_1280.ppm,7,,,,26.087,ok
2026-05-15T13:26:48+00:00,denoise_2_gpu,noise_1280.ppm,8,,,,26.065,ok
2026-05-15T13:26:48+00:00,denoise_2_gpu,noise_1280.ppm,9,,,,26.068,ok
2026-05-15T13:26:49+00:00,denoise_2_gpu,noise_1280.ppm,10,,,,26.121,ok
2026-05-15T13:26:49+00:00,denoise_2_gpu,noise_1280.ppm,11,,,,26.103,ok
2026-05-15T13:26:50+00:00,denoise_2_gpu,noise_1280.ppm,12,,,,26.040,ok
2026-05-15T13:26:50+00:00,denoise_2_gpu,noise_1280.ppm,13,,,,26.029,ok
2026-05-15T13:26:51+00:00,denoise_2_gpu,noise_1280.ppm,14,,,,26.101,ok
2026-05-15T13:26:51+00:00,denoise_2_gpu,noise_1280.ppm,15,,,,26.118,ok
2026-05-15T13:26:52+00:00,denoise_2_gpu,noise_1280.ppm,16,,,,26.128,ok
2026-05-15T13:26:52+00:00,denoise_2_gpu,noise_1280.ppm,17,,,,26.005,ok
2026-05-15T13:26:53+00:00,denoise_2_gpu,noise_1280.ppm,18,,,,26.115,ok
2026-05-15T13:26:53+00:00,denoise_2_gpu,noise_1280.ppm,19,,,,26.072,ok
2026-05-15T13:26:54+00:00,denoise_2_gpu,noise_1280.ppm,20,,,,26.033,ok
2026-05-15T13:26:54+00:00,denoise_2_gpu,noise_1280.ppm,21,,,,26.018,ok
2026-05-15T13:26:55+00:00,denoise_2_gpu,noise_1280.ppm,22,,,,26.089,ok
2026-05-15T13:26:55+00:00,denoise_2_gpu,noise_1280.ppm,23,,,,26.057,ok
2026-05-15T13:26:56+00:00,denoise_2_gpu,noise_1280.ppm,24,,,,26.053,ok
2026-05-15T13:26:56+00:00,denoise_2_gpu,noise_1280.ppm,25,,,,26.150,ok
2026-05-15T13:26:57+00:00,denoise_2_gpu,noise_1280.ppm,26,,,,26.082,ok
2026-05-15T13:26:57+00:00,denoise_2_gpu,noise_1280.ppm,27,,,,26.083,ok
2026-05-15T13:26:58+00:00,denoise_2_gpu,noise_1280.ppm,28,,,,26.065,ok
2026-05-15T13:26:58+00:00,denoise_2_gpu,noise_1280.ppm,29,,,,26.047,ok
2026-05-15T13:26:59+00:00,denoise_2_gpu,noise_1280.ppm,30,,,,26.044,ok
2026-05-15T13:26:59+00:00,denoise_2_gpu,noise_1920.ppm,1,,,,58.906,ok
2026-05-15T13:27:00+00:00,denoise_2_gpu,noise_1920.ppm,2,,,,58.869,ok
2026-05-15T13:27:01+00:00,denoise_2_gpu,noise_1920.ppm,3,,,,58.879,ok
2026-05-15T13:27:01+00:00,denoise_2_gpu,noise_1920.ppm,4,,,,58.886,ok
2026-05-15T13:27:02+00:00,denoise_2_gpu,noise_1920.ppm,5,,,,58.881,ok
2026-05-15T13:27:02+00:00,denoise_2_gpu,noise_1920.ppm,6,,,,58.905,ok
2026-05-15T13:27:03+00:00,denoise_2_gpu,noise_1920.ppm,7,,,,58.931,ok
2026-05-15T13:27:03+00:00,denoise_2_gpu,noise_1920.ppm,8,,,,58.952,ok
2026-05-15T13:27:04+00:00,denoise_2_gpu,noise_1920.ppm,9,,,,58.880,ok
2026-05-15T13:27:04+00:00,denoise_2_gpu,noise_1920.ppm,10,,,,58.986,ok
2026-05-15T13:27:05+00:00,denoise_2_gpu,noise_1920.ppm,11,,,,58.858,ok
