timestamp,executable,image,repetition,fast_ms,sort_ms,slow_ms,total_ms,status
2026-05-18T21:52:49+00:00,denoise_1_2_w1,noise_5k.ppm,1,4.118,,145.875,150.051,ok
2026-05-18T21:52:50+00:00,denoise_1_2_w1,noise_5k.ppm,2,4.091,,145.652,149.786,ok
2026-05-18T21:52:51+00:00,denoise_1_2_w1,noise_5k.ppm,3,4.100,,145.713,149.856,ok
2026-05-18T21:52:52+00:00,denoise_1_2_w1,noise_5k.ppm,4,4.096,,145.695,149.835,ok
2026-05-18T21:52:53+00:00,denoise_1_2_w1,noise_5k.ppm,5,4.090,,145.723,149.856,ok
2026-05-18T21:52:53+00:00,denoise_1_2_w1,noise_5k.ppm,6,4.091,,145.791,149.926,ok
2026-05-18T21:52:54+00:00,denoise_1_2_w1,noise_5k.ppm,7,4.109,,145.653,149.823,ok
2026-05-18T21:52:55+00:00,denoise_1_2_w1,noise_5k.ppm,8,4.095,,145.752,149.890,ok
2026-05-18T21:52:56+00:00,denoise_1_2_w1,noise_5k.ppm,9,4.095,,145.778,149.916,ok
2026-05-18T21:52:57+00:00,denoise_1_2_w1,noise_5k.ppm,10,4.096,,145.785,149.924,ok
2026-05-18T21:52:58+00:00,denoise_1_2_w1,noise_5k.ppm,11,4.097,,145.749,149.891,ok
2026-05-18T21:52:59+00:00,denoise_1_2_w1,noise_5k.ppm,12,4.096,,145.766,149.906,ok
2026-05-18T21:53:00+00:00,denoise_1_2_w1,noise_5k.ppm,13,4.099,,145.787,149.936,ok
2026-05-18T21:53:01+00:00,denoise_1_2_w1,noise_5k.ppm,14,4.110,,145.803,149.981,ok
2026-05-18T21:53:01+00:00,denoise_1_2_w1,noise_5k.ppm,15,4.101,,145.772,149.922,ok
2026-05-18T21:53:02+00:00,denoise_1_2_w1,noise_5k.ppm,16,4.094,,145.678,149.815,ok
2026-05-18T21:53:03+00:00,denoise_1_2_w1,noise_5k.ppm,17,4.104,,145.776,149.930,ok
2026-05-18T21:53:04+00:00,denoise_1_2_w1,noise_5k.ppm,18,4.104,,145.774,149.930,ok
2026-05-18T21:53:05+00:00,denoise_1_2_w1,noise_5k.ppm,19,4.118,,145.755,149.936,ok
2026-05-18T21:53:06+00:00,denoise_1_2_w1,noise_5k.ppm,20,4.092,,145.701,149.836,ok
2026-05-18T21:53:07+00:00,denoise_1_2_w1,noise_5k.ppm,21,4.111,,145.714,149.890,ok
2026-05-18T21:53:08+00:00,denoise_1_2_w1,noise_5k.ppm,22,4.114,,145.753,149.928,ok
2026-05-18T21:53:09+00:00,denoise_1_2_w1,noise_5k.ppm,23,4.114,,145.731,149.901,ok
2026-05-18T21:53:10+00:00,denoise_1_2_w1,noise_5k.ppm,24,4.093,,145.738,149.877,ok
2026-05-18T21:53:11+00:00,denoise_1_2_w1,noise_5k.ppm,25,4.096,,145.817,149.956,ok
2026-05-18T21:53:12+00:00,denoise_1_2_w1,noise_5k.ppm,26,4.089,,145.669,149.802,ok
2026-05-18T21:53:12+00:00,denoise_1_2_w1,noise_5k.ppm,27,4.109,,145.694,149.863,ok
2026-05-18T21:53:13+00:00,denoise_1_2_w1,noise_5k.ppm,28,4.098,,145.699,149.839,ok
2026-05-18T21:53:14+00:00,denoise_1_2_w1,noise_5k.ppm,29,4.098,,145.651,149.792,ok
2026-05-18T21:53:15+00:00,denoise_1_2_w1,noise_5k.ppm,30,4.115,,145.801,149.981,ok
2026-05-18T21:53:17+00:00,denoise_1_2_w2,noise_5k.ppm,1,4.097,,127.261,131.402,ok
2026-05-18T21:53:18+00:00,denoise_1_2_w2,noise_5k.ppm,2,4.108,,127.316,131.482,ok
2026-05-18T21:53:19+00:00,denoise_1_2_w2,noise_5k.ppm,3,4.094,,127.315,131.452,ok
2026-05-18T21:53:20+00:00,denoise_1_2_w2,noise_5k.ppm,4,4.097,,127.361,131.502,ok
2026-05-18T21:53:21+00:00,denoise_1_2_w2,noise_5k.ppm,5,4.095,,127.304,131.441,ok
2026-05-18T21:53:22+00:00,denoise_1_2_w2,noise_5k.ppm,6,4.094,,127.264,131.400,ok
2026-05-18T21:53:22+00:00,denoise_1_2_w2,noise_5k.ppm,7,4.095,,127.303,131.446,ok
2026-05-18T21:53:23+00:00,denoise_1_2_w2,noise_5k.ppm,8,4.094,,127.344,131.484,ok
2026-05-18T21:53:24+00:00,denoise_1_2_w2,noise_5k.ppm,9,4.114,,127.417,131.591,ok
2026-05-18T21:53:25+00:00,denoise_1_2_w2,noise_5k.ppm,10,4.110,,127.353,131.525,ok
2026-05-18T21:53:26+00:00,denoise_1_2_w2,noise_5k.ppm,11,4.098,,127.308,131.448,ok
2026-05-18T21:53:27+00:00,denoise_1_2_w2,noise_5k.ppm,12,4.096,,127.469,131.608,ok
2026-05-18T21:53:28+00:00,denoise_1_2_w2,noise_5k.ppm,13,4.096,,127.348,131.490,ok
2026-05-18T21:53:29+00:00,denoise_1_2_w2,noise_5k.ppm,14,4.095,,127.394,131.533,ok
2026-05-18T21:53:29+00:00,denoise_1_2_w2,noise_5k.ppm,15,4.095,,127.288,131.426,ok
2026-05-18T21:53:30+00:00,denoise_1_2_w2,noise_5k.ppm,16,4.091,,127.415,131.552,ok
2026-05-18T21:53:31+00:00,denoise_1_2_w2,noise_5k.ppm,17,4.094,,127.402,131.545,ok
2026-05-18T21:53:32+00:00,denoise_1_2_w2,noise_5k.ppm,18,4.098,,127.344,131.490,ok
2026-05-18T21:53:33+00:00,denoise_1_2_w2,noise_5k.ppm,19,4.092,,127.268,131.403,ok
2026-05-18T21:53:34+00:00,denoise_1_2_w2,noise_5k.ppm,20,4.094,,127.390,131.529,ok
2026-05-18T21:53:35+00:00,denoise_1_2_w2,noise_5k.ppm,21,4.096,,127.334,131.475,ok
2026-05-18T21:53:35+00:00,denoise_1_2_w2,noise_5k.ppm,22,4.096,,127.371,131.510,ok
2026-05-18T21:53:36+00:00,denoise_1_2_w2,noise_5k.ppm,23,4.092,,127.262,131.400,ok
2026-05-18T21:53:37+00:00,denoise_1_2_w2,noise_5k.ppm,24,4.092,,127.311,131.451,ok
2026-05-18T21:53:38+00:00,denoise_1_2_w2,noise_5k.ppm,25,4.095,,127.341,131.480,ok
2026-05-18T21:53:39+00:00,denoise_1_2_w2,noise_5k.ppm,26,4.094,,127.393,131.533,ok
2026-05-18T21:53:40+00:00,denoise_1_2_w2,noise_5k.ppm,27,4.096,,127.371,131.510,ok
2026-05-18T21:53:41+00:00,denoise_1_2_w2,noise_5k.ppm,28,4.094,,127.250,131.396,ok
2026-05-18T21:53:41+00:00,denoise_1_2_w2,noise_5k.ppm,29,4.098,,127.400,131.542,ok
2026-05-18T21:53:42+00:00,denoise_1_2_w2,noise_5k.ppm,30,4.092,,127.283,131.418,ok
2026-05-18T21:53:44+00:00,denoise_1_2_w4,noise_5k.ppm,1,4.092,,128.302,132.438,ok
