timestamp,executable,image,repetition,fast_ms,sort_ms,slow_ms,total_ms,status
2026-05-26T13:43:21+00:00,denoise_1_3_w1,noise_5k.ppm,1,4.100,,135.434,145.811,ok
2026-05-26T13:43:22+00:00,denoise_1_3_w1,noise_5k.ppm,2,4.102,,135.442,145.832,ok
2026-05-26T13:43:23+00:00,denoise_1_3_w1,noise_5k.ppm,3,4.110,,135.457,145.893,ok
2026-05-26T13:43:24+00:00,denoise_1_3_w1,noise_5k.ppm,4,4.103,,135.429,145.822,ok
2026-05-26T13:43:25+00:00,denoise_1_3_w1,noise_5k.ppm,5,4.098,,135.444,145.837,ok
2026-05-26T13:43:26+00:00,denoise_1_3_w1,noise_5k.ppm,6,4.098,,135.452,145.817,ok
2026-05-26T13:43:27+00:00,denoise_1_3_w1,noise_5k.ppm,7,4.102,,135.431,145.807,ok
2026-05-26T13:43:28+00:00,denoise_1_3_w1,noise_5k.ppm,8,4.102,,135.455,145.840,ok
2026-05-26T13:43:29+00:00,denoise_1_3_w1,noise_5k.ppm,9,4.100,,135.466,145.837,ok
2026-05-26T13:43:29+00:00,denoise_1_3_w1,noise_5k.ppm,10,4.102,,135.430,145.815,ok
2026-05-26T13:43:30+00:00,denoise_1_3_w1,noise_5k.ppm,11,4.109,,135.447,145.858,ok
2026-05-26T13:43:31+00:00,denoise_1_3_w1,noise_5k.ppm,12,4.098,,135.451,145.796,ok
2026-05-26T13:43:32+00:00,denoise_1_3_w1,noise_5k.ppm,13,4.142,,135.434,145.896,ok
2026-05-26T13:43:33+00:00,denoise_1_3_w1,noise_5k.ppm,14,4.102,,135.439,145.820,ok
2026-05-26T13:43:34+00:00,denoise_1_3_w1,noise_5k.ppm,15,4.104,,135.433,145.886,ok
2026-05-26T13:43:35+00:00,denoise_1_3_w1,noise_5k.ppm,16,4.103,,135.426,145.812,ok
2026-05-26T13:43:36+00:00,denoise_1_3_w1,noise_5k.ppm,17,4.104,,135.447,145.860,ok
2026-05-26T13:43:37+00:00,denoise_1_3_w1,noise_5k.ppm,18,4.146,,135.438,145.910,ok
2026-05-26T13:43:37+00:00,denoise_1_3_w1,noise_5k.ppm,19,4.103,,135.450,145.873,ok
2026-05-26T13:43:38+00:00,denoise_1_3_w1,noise_5k.ppm,20,4.094,,135.420,145.761,ok
2026-05-26T13:43:39+00:00,denoise_1_3_w1,noise_5k.ppm,21,4.101,,135.429,145.870,ok
2026-05-26T13:43:40+00:00,denoise_1_3_w1,noise_5k.ppm,22,4.107,,135.457,145.867,ok
2026-05-26T13:43:41+00:00,denoise_1_3_w1,noise_5k.ppm,23,4.106,,135.465,145.883,ok
2026-05-26T13:43:42+00:00,denoise_1_3_w1,noise_5k.ppm,24,4.100,,135.445,145.830,ok
2026-05-26T13:43:43+00:00,denoise_1_3_w1,noise_5k.ppm,25,4.100,,135.430,145.811,ok
2026-05-26T13:43:44+00:00,denoise_1_3_w1,noise_5k.ppm,26,4.100,,135.453,145.857,ok
2026-05-26T13:43:44+00:00,denoise_1_3_w1,noise_5k.ppm,27,4.102,,135.434,145.852,ok
2026-05-26T13:43:45+00:00,denoise_1_3_w1,noise_5k.ppm,28,4.100,,135.444,145.898,ok
2026-05-26T13:43:46+00:00,denoise_1_3_w1,noise_5k.ppm,29,4.104,,135.452,145.863,ok
2026-05-26T13:43:47+00:00,denoise_1_3_w1,noise_5k.ppm,30,4.111,,135.438,145.841,ok
2026-05-26T13:43:59+00:00,denoise_1_3_w2,noise_5k.ppm,1,4.094,,118.974,129.313,ok
2026-05-26T13:44:00+00:00,denoise_1_3_w2,noise_5k.ppm,2,4.105,,118.988,129.379,ok
2026-05-26T13:44:01+00:00,denoise_1_3_w2,noise_5k.ppm,3,4.104,,118.968,129.374,ok
2026-05-26T13:44:01+00:00,denoise_1_3_w2,noise_5k.ppm,4,4.097,,118.993,129.370,ok
2026-05-26T13:44:02+00:00,denoise_1_3_w2,noise_5k.ppm,5,4.106,,118.973,129.393,ok
2026-05-26T13:44:03+00:00,denoise_1_3_w2,noise_5k.ppm,6,4.099,,119.007,129.394,ok
2026-05-26T13:44:04+00:00,denoise_1_3_w2,noise_5k.ppm,7,4.103,,119.007,129.423,ok
2026-05-26T13:44:05+00:00,denoise_1_3_w2,noise_5k.ppm,8,4.100,,118.993,129.370,ok
2026-05-26T13:44:06+00:00,denoise_1_3_w2,noise_5k.ppm,9,4.107,,119.020,129.406,ok
2026-05-26T13:44:07+00:00,denoise_1_3_w2,noise_5k.ppm,10,4.104,,119.036,129.428,ok
2026-05-26T13:44:08+00:00,denoise_1_3_w2,noise_5k.ppm,11,4.100,,118.983,129.318,ok
2026-05-26T13:44:08+00:00,denoise_1_3_w2,noise_5k.ppm,12,4.098,,119.015,129.366,ok
2026-05-26T13:44:09+00:00,denoise_1_3_w2,noise_5k.ppm,13,4.098,,119.008,129.405,ok
2026-05-26T13:44:10+00:00,denoise_1_3_w2,noise_5k.ppm,14,4.101,,119.030,129.426,ok
2026-05-26T13:44:11+00:00,denoise_1_3_w2,noise_5k.ppm,15,4.143,,119.040,129.522,ok
2026-05-26T13:44:12+00:00,denoise_1_3_w2,noise_5k.ppm,16,4.109,,119.019,129.426,ok
2026-05-26T13:44:13+00:00,denoise_1_3_w2,noise_5k.ppm,17,4.101,,118.988,129.387,ok
2026-05-26T13:44:14+00:00,denoise_1_3_w2,noise_5k.ppm,18,4.100,,118.987,129.417,ok
2026-05-26T13:44:14+00:00,denoise_1_3_w2,noise_5k.ppm,19,4.096,,119.022,129.393,ok
2026-05-26T13:44:15+00:00,denoise_1_3_w2,noise_5k.ppm,20,4.094,,118.995,129.323,ok
2026-05-26T13:44:16+00:00,denoise_1_3_w2,noise_5k.ppm,21,4.108,,118.973,129.370,ok
2026-05-26T13:44:17+00:00,denoise_1_3_w2,noise_5k.ppm,22,4.163,,119.006,129.473,ok
2026-05-26T13:44:18+00:00,denoise_1_3_w2,noise_5k.ppm,23,4.099,,119.022,129.443,ok
2026-05-26T13:44:19+00:00,denoise_1_3_w2,noise_5k.ppm,24,4.107,,119.033,129.456,ok
2026-05-26T13:44:20+00:00,denoise_1_3_w2,noise_5k.ppm,25,4.105,,118.999,129.427,ok
2026-05-26T13:44:21+00:00,denoise_1_3_w2,noise_5k.ppm,26,4.099,,119.024,129.389,ok
2026-05-26T13:44:21+00:00,denoise_1_3_w2,noise_5k.ppm,27,4.104,,119.034,129.434,ok
2026-05-26T13:44:22+00:00,denoise_1_3_w2,noise_5k.ppm,28,4.100,,118.985,129.378,ok
2026-05-26T13:44:23+00:00,denoise_1_3_w2,noise_5k.ppm,29,4.093,,118.975,129.323,ok
2026-05-26T13:44:24+00:00,denoise_1_3_w2,noise_5k.ppm,30,4.100,,119.017,129.419,ok
2026-05-26T13:44:35+00:00,denoise_1_3_w4,noise_5k.ppm,1,4.096,,119.835,130.185,ok
2026-05-26T13:44:36+00:00,denoise_1_3_w4,noise_5k.ppm,2,4.104,,119.890,130.292,ok
2026-05-26T13:44:37+00:00,denoise_1_3_w4,noise_5k.ppm,3,4.092,,119.867,130.208,ok
2026-05-26T13:44:38+00:00,denoise_1_3_w4,noise_5k.ppm,4,4.103,,119.869,130.260,ok
2026-05-26T13:44:39+00:00,denoise_1_3_w4,noise_5k.ppm,5,4.104,,119.898,130.284,ok
2026-05-26T13:44:40+00:00,denoise_1_3_w4,noise_5k.ppm,6,4.103,,119.893,130.292,ok
2026-05-26T13:44:41+00:00,denoise_1_3_w4,noise_5k.ppm,7,4.109,,119.851,130.290,ok
2026-05-26T13:44:42+00:00,denoise_1_3_w4,noise_5k.ppm,8,4.109,,119.871,130.286,ok
2026-05-26T13:44:43+00:00,denoise_1_3_w4,noise_5k.ppm,9,4.112,,119.880,130.279,ok
2026-05-26T13:44:43+00:00,denoise_1_3_w4,noise_5k.ppm,10,4.111,,119.854,130.382,ok
2026-05-26T13:44:44+00:00,denoise_1_3_w4,noise_5k.ppm,11,4.094,,119.839,130.173,ok
2026-05-26T13:44:45+00:00,denoise_1_3_w4,noise_5k.ppm,12,4.101,,119.887,130.300,ok
2026-05-26T13:44:46+00:00,denoise_1_3_w4,noise_5k.ppm,13,4.103,,119.860,130.288,ok
2026-05-26T13:44:47+00:00,denoise_1_3_w4,noise_5k.ppm,14,4.094,,119.886,130.222,ok
2026-05-26T13:44:48+00:00,denoise_1_3_w4,noise_5k.ppm,15,4.094,,119.869,130.212,ok
2026-05-26T13:44:49+00:00,denoise_1_3_w4,noise_5k.ppm,16,4.098,,119.878,130.220,ok
2026-05-26T13:44:49+00:00,denoise_1_3_w4,noise_5k.ppm,17,4.094,,119.848,130.193,ok
2026-05-26T13:44:50+00:00,denoise_1_3_w4,noise_5k.ppm,18,4.090,,119.869,130.234,ok
2026-05-26T13:44:51+00:00,denoise_1_3_w4,noise_5k.ppm,19,4.099,,119.890,130.303,ok
2026-05-26T13:44:52+00:00,denoise_1_3_w4,noise_5k.ppm,20,4.096,,119.871,130.211,ok
2026-05-26T13:44:53+00:00,denoise_1_3_w4,noise_5k.ppm,21,4.096,,119.856,130.223,ok
2026-05-26T13:44:54+00:00,denoise_1_3_w4,noise_5k.ppm,22,4.093,,119.857,130.195,ok
2026-05-26T13:44:55+00:00,denoise_1_3_w4,noise_5k.ppm,23,4.096,,119.863,130.243,ok
2026-05-26T13:44:55+00:00,denoise_1_3_w4,noise_5k.ppm,24,4.107,,119.853,130.251,ok
2026-05-26T13:44:56+00:00,denoise_1_3_w4,noise_5k.ppm,25,4.092,,119.898,130.253,ok
2026-05-26T13:44:57+00:00,denoise_1_3_w4,noise_5k.ppm,26,4.102,,119.861,130.239,ok
2026-05-26T13:44:58+00:00,denoise_1_3_w4,noise_5k.ppm,27,4.096,,119.928,130.290,ok
2026-05-26T13:44:59+00:00,denoise_1_3_w4,noise_5k.ppm,28,4.101,,119.898,130.307,ok
2026-05-26T13:45:00+00:00,denoise_1_3_w4,noise_5k.ppm,29,4.096,,119.868,130.222,ok
2026-05-26T13:45:01+00:00,denoise_1_3_w4,noise_5k.ppm,30,4.092,,119.861,130.212,ok
